CRASH REPORT NUMBER,CRASH DATE,MILITARY TIME,AGENCY,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE INJURED                    (CLASS A+B+C),"NUMBER OF VEHICLES, PEDESTRIANS AND PEDALCYCLISTS INVOLVED",WGS_X,WGS_Y
23326940,2013-07-22,16:00,STATION REPORT,0,0,0,0,0,1,-106.627745906,35.0756912502
23353935,2013-07-23,9:20,STATION REPORT,0,0,0,0,0,2,-106.627745906,35.0756912502
710137446,2013-07-24,0:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
23326267,2013-07-28,14:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.620801702,35.0754735818
710140487,2013-07-29,18:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.60706997,35.0754508861
710142678,2013-08-04,3:52,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.614556319,35.0754763924
23354030,2013-08-07,17:57,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710139286,2013-08-08,15:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.644150511,35.0795746499
7101466,2013-08-08,16:50,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710081395,2013-08-12,17:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
710129101,2013-08-22,11:16,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710143337,2013-08-23,19:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.628146369,35.0766430206
710137455,2013-08-24,18:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
23354085,2013-08-27,8:10,STATION REPORT,0,0,0,0,0,2,-106.624053023,35.0750287699
710137870,2013-08-29,12:41,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.614556319,35.0754763924
7101471,2013-08-30,12:19,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.631782097,35.0779659401
710141728,2013-08-31,14:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411747,35.0797354266
23326167,2013-09-03,17:45,STATION REPORT,0,0,0,0,0,2,-106.613295731,35.0754482716
710140684,2013-09-03,16:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.59535823,35.0749689211
710145329,2013-09-10,15:09,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.617058268,35.0754530585
710141257,2013-09-11,7:10,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.636989871,35.0786260404
710138112,2013-09-12,15:14,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.619539634,35.0754816101
710143480,2013-09-15,19:37,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
710130621,2013-09-16,18:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.603390795,35.0754300805
23384070,2013-09-24,0:00,LEFT BLANK,0,0,0,0,0,1,-106.62984999,35.0777096347
710141261,2013-09-27,7:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710137938,2013-09-28,14:13,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.644150511,35.0795746499
710139843,2013-10-01,15:39,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710139089,2013-10-01,10:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.624053023,35.0750287699
710137813,2013-10-01,9:17,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
60000607,2013-10-02,16:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.609543698,35.0754813666
710140688,2013-10-02,18:13,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.638168521,35.0788046876
